sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition
73.203,17.710,1.000,20.550,2.000,146.000,103.200,68.900,177.600,3.219,15.300,24.000,4.293,0.0
12.855,17.525,1.000,26.600,3.200,205.000,106.400,70.400,178.200,3.857,21.100,19.000,2.554,0.0
76.029,19.490,1.000,26.000,3.500,210.000,118.100,75.600,201.200,4.288,20.000,23.000,4.331,0.0
41.184,5.860,0.000,9.699,1.500,92.000,96.100,65.700,166.700,2.240,11.900,31.000,3.718,0.0
66.692,7.825,0.000,11.799,2.000,140.000,100.400,66.900,174.000,2.626,14.500,27.000,4.200,0.0
29.450,8.910,0.000,14.999,2.400,148.000,106.300,71.600,185.400,3.072,17.200,25.000,3.383,0.0
23.713,19.690,0.000,29.465,3.000,227.000,108.300,70.200,193.700,3.342,18.500,25.000,3.166,0.0
55.557,13.475,1.000,14.460,2.500,120.000,93.400,66.700,152.000,3.045,19.000,17.000,4.017,0.0
80.556,13.775,1.000,21.620,4.000,190.000,101.400,69.400,167.500,3.194,20.000,20.000,4.389,0.0
157.040,18.810,1.000,26.895,4.000,195.000,105.900,72.300,181.500,3.880,20.500,19.000,5.057,0.0
24.072,26.975,0.000,31.505,3.000,210.000,105.100,70.500,190.200,3.373,18.500,23.000,3.181,0.0
12.698,32.075,0.000,37.805,3.000,225.000,110.200,70.900,189.200,3.638,19.800,23.000,2.541,0.0
6.375,40.375,0.000,54.005,4.000,290.000,112.200,72.000,196.700,3.890,22.500,22.000,1.852,0.0
13.798,20.525,0.000,39.080,4.600,275.000,109.000,73.600,208.500,3.868,20.000,22.000,2.625,0.0
48.911,21.725,0.000,43.330,4.600,215.000,117.700,78.200,215.300,4.121,19.000,21.000,3.890,0.0
26.232,8.325,0.000,13.987,1.800,113.000,98.400,66.500,173.600,2.250,13.200,30.000,3.267,0.0
42.541,10.395,0.000,19.047,2.400,154.000,100.800,68.900,175.400,2.910,15.900,24.000,3.750,0.0
55.616,10.595,0.000,17.357,2.400,145.000,103.700,68.500,187.800,2.945,16.300,25.000,4.018,0.0
5.711,16.575,0.000,24.997,3.500,210.000,107.100,70.300,194.100,3.443,19.000,22.000,1.742,0.0
0.110,20.940,0.000,25.450,3.000,161.000,97.200,72.400,180.300,3.131,19.800,21.000,-2.207,0.0
11.337,19.125,1.000,31.807,3.500,200.000,107.300,69.900,186.600,4.520,24.300,18.000,2.428,0.0
39.348,13.880,1.000,22.527,3.000,173.000,107.300,66.700,178.300,3.510,19.500,20.000,3.672,0.0
14.351,8.800,0.000,16.240,2.000,125.000,106.500,69.100,184.800,2.769,15.000,28.000,2.664,0.0
26.529,13.890,0.000,16.540,2.000,125.000,106.400,69.600,185.000,2.892,16.000,30.000,3.278,0.0
67.956,11.030,0.000,19.035,3.000,153.000,108.500,73.000,199.700,3.379,16.000,24.000,4.219,0.0
81.174,14.875,0.000,22.605,4.600,200.000,114.700,78.200,212.000,3.958,19.000,21.000,4.397,0.0
27.609,20.430,1.000,27.560,4.000,210.000,111.600,70.200,190.100,3.876,21.000,18.000,3.318,0.0
20.380,14.795,1.000,22.510,3.300,170.000,112.200,74.900,194.700,3.944,20.000,21.000,3.015,0.0
18.392,26.050,0.000,31.750,2.300,185.000,105.900,67.700,177.400,3.250,16.400,26.000,2.912,0.0
27.602,41.450,0.000,49.900,3.200,221.000,111.500,70.800,189.400,3.823,21.100,25.000,3.318,0.0
16.774,50.375,0.000,69.700,4.300,275.000,121.500,73.100,203.100,4.133,23.200,21.000,2.820,0.0
3.311,58.600,0.000,82.600,5.000,302.000,99.000,71.300,177.100,4.125,21.100,20.000,1.197,0.0
42.643,8.450,0.000,13.499,1.800,126.000,99.800,67.300,177.500,2.593,13.200,30.000,3.753,0.0
88.094,11.295,0.000,20.390,2.400,155.000,103.100,69.100,183.500,3.012,15.900,25.000,4.478,0.0
79.853,15.125,0.000,26.249,3.000,222.000,108.300,70.300,190.500,3.294,18.500,25.000,4.380,0.0
27.308,15.380,1.000,26.399,3.300,170.000,112.200,74.900,194.800,3.991,20.000,21.000,3.307,0.0
42.574,17.810,1.000,29.299,3.300,170.000,106.300,71.700,182.600,3.947,21.000,19.000,3.751,0.0
1.112,11.240,0.000,18.145,3.100,150.000,107.000,69.400,192.000,3.102,15.200,25.000,0.106,0.0
14.690,19.890,0.000,36.229,4.000,250.000,113.800,74.400,205.400,3.967,18.500,22.000,2.687,0.0
20.017,19.925,1.000,31.598,4.300,190.000,107.000,67.800,181.200,4.068,17.500,19.000,2.997,0.0
24.361,15.240,1.000,25.345,3.400,185.000,120.000,72.200,201.400,3.948,25.000,22.000,3.193,0.0
32.734,7.750,0.000,12.640,2.000,132.000,105.000,74.400,174.400,2.559,12.500,29.000,3.488,0.0
5.240,9.800,0.000,16.080,2.000,132.000,108.000,71.000,186.300,2.942,16.000,27.000,1.656,0.0
24.155,12.025,1.000,18.850,2.400,150.000,113.300,76.800,186.300,3.528,20.000,24.000,3.184,0.0
51.645,13.790,0.000,21.610,2.400,150.000,104.100,68.400,181.900,2.906,15.000,27.000,3.944,0.0
131.097,10.290,0.000,19.720,3.400,175.000,107.000,70.400,186.300,3.091,15.200,25.000,4.876,0.0
19.911,17.805,0.000,25.310,3.800,200.000,101.100,74.500,193.400,3.492,16.800,25.000,2.991,0.0
92.364,14.010,0.000,21.665,3.800,195.000,110.500,72.700,196.500,3.396,18.000,25.000,4.526,0.0
35.945,13.225,0.000,23.755,3.800,205.000,112.200,72.600,202.500,3.590,17.500,24.000,3.582,0.0
8.982,41.250,0.000,41.430,2.700,217.000,95.200,70.100,171.000,2.778,17.000,22.000,2.195,0.0
1.280,60.625,0.000,71.020,3.400,300.000,92.600,69.500,174.500,3.032,17.000,21.000,0.247,0.0
1.866,67.550,0.000,74.970,3.400,300.000,92.600,69.500,174.500,3.075,17.000,23.000,0.624,0.0
80.620,9.200,0.000,10.685,1.900,100.000,102.400,66.400,176.900,2.332,12.100,33.000,4.390,0.0
24.546,10.590,0.000,12.535,1.900,100.000,102.400,66.400,180.000,2.367,12.100,33.000,3.201,0.0
5.223,10.790,0.000,14.290,1.900,124.000,102.400,66.400,176.900,2.452,12.100,31.000,1.653,0.0
142.535,10.025,0.000,13.108,1.800,120.000,97.000,66.700,174.000,2.420,13.200,33.000,4.960,0.0
247.994,13.245,0.000,17.518,2.200,133.000,105.200,70.100,188.500,2.998,18.500,27.000,5.513,0.0
63.849,18.140,0.000,25.545,3.000,210.000,107.100,71.700,191.900,3.417,18.500,26.000,4.157,0.0
33.269,15.445,0.000,16.875,1.800,140.000,102.400,68.300,170.500,2.425,14.500,31.000,3.505,0.0
84.087,9.575,1.000,11.528,2.400,142.000,103.300,66.500,178.700,2.580,15.100,23.000,4.432,0.0
25.106,13.325,1.000,16.888,2.000,127.000,94.900,66.700,163.800,2.668,15.300,27.000,3.223,0.0
68.411,19.425,1.000,22.288,2.700,150.000,105.300,66.500,183.300,3.440,18.500,23.000,4.226,0.0
9.835,34.080,1.000,51.728,4.700,230.000,112.200,76.400,192.500,5.115,25.400,15.000,2.286,0.0
9.761,11.425,0.000,14.900,2.000,115.000,98.900,68.300,163.300,2.767,14.500,26.000,2.278,0.0
83.721,13.240,0.000,16.700,2.000,115.000,98.900,68.300,172.300,2.853,14.500,26.000,4.427,0.0
51.102,16.725,0.000,21.200,1.800,150.000,106.400,68.500,184.100,3.043,16.400,27.000,3.934,0.0
9.569,16.575,0.000,19.990,2.000,115.000,97.400,66.700,160.400,3.079,13.700,26.000,2.259,0.0
5.596,13.760,0.000,17.500,2.000,115.000,98.900,68.300,163.300,2.762,14.600,26.000,1.722,0.0
